id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39082,SUCM,small_airport,"Zagarzazú International Airport",-33.96611,-58.325279,42,SA,Uruguay,UY,"Colonia Department",UY-CO,CO,Carmelo,0,SUCM,,,,https://en.wikipedia.org/wiki/Zagarzaz%C3%BA_International_Airport,"Balneario Zagarzazú, Carmelo",50,2021-10-07T16:00:59+00:00
31920,SUMO,small_airport,"Cerro Largo International Airport",-32.337898,-54.216702,364,SA,Uruguay,UY,"Cerro Largo Department",UY-CL,CL,Melo,0,SUMO,MLZ,,,https://en.wikipedia.org/wiki/Cerro_Largo_International_Airport,,50,2024-05-29T05:51:44+00:00
32388,SUME,small_airport,"Ricardo Detomasi Airport",-33.2489,-58.0737,68,SA,Uruguay,UY,"Río Negro Department",UY-RN,RN,Mercedes,0,SUME,,,,https://es.wikipedia.org/wiki/Aeropuerto_Ricardo_Detomasi,,50,2017-11-26T07:49:55+00:00
30253,SUPU,small_airport,"Tydeo Larre Borges Airport",-32.3633,-58.061901,138,SA,Uruguay,UY,"Paysandu Department",UY-PA,PA,Paysandú,0,SUPU,PDU,,,https://en.wikipedia.org/wiki/Paysand%C3%BA_Airport,,50,2023-07-28T10:46:28+00:00
32423,SUTB,small_airport,"Tacuarembo Airport",-31.749001,-55.925801,440,SA,Uruguay,UY,"Tacuarembo Department",UY-TA,TA,Tacuarembo,0,SUTB,TAW,,,https://en.wikipedia.org/wiki/Tacuaremb%C3%B3_Airport,,50,2018-03-02T21:46:20+00:00
325318,SUAY,small_airport,"Termas del Arapey Airport",-30.938271,-57.517528,153,SA,Uruguay,UY,"Salto Department",UY-SA,SA,"Termas del Arapey",0,SUAY,,,,,,50,2017-10-28T10:35:38+00:00
324371,UY-0004,small_airport,"Garcia Brum Airstrip",-32.396295,-56.588257,448,SA,Uruguay,UY,"Paysandu Department",UY-PA,PA,,0,,,,,,,50,2017-07-09T14:58:06+00:00
513760,UY-0023,small_airport,"Los Alamos Airport",-31.804875,-54.264035,558,SA,Uruguay,UY,"Cerro Largo Department",UY-CL,CL,Aceguá,0,,,,,,,50,2023-10-25T13:29:19+00:00
324636,UY-0005,small_airport,"Joaquín Lenzina Airport",-31.868851,-55.498746,,SA,Uruguay,UY,"Tacuarembo Department",UY-TA,TA,Ansina,0,,,,,,,50,2017-08-04T10:23:35+00:00
324637,UY-0006,small_airport,"Ansina Airstrip",-31.869065,-55.491636,,SA,Uruguay,UY,"Tacuarembo Department",UY-TA,TA,Ansina,0,,,,,,,50,2017-08-04T10:24:44+00:00
